anio,clave_ent,nombre_ent,pibe
2015,1,Aguascalientes,198220.641
2015,2,Baja California,511459.528
2015,3,Baja California Sur,130520.642
2015,4,Campeche,637604.643
2015,5,Coahuila,563928.44
2015,6,Colima,95878.066
2015,7,Chiapas,287811.831
2015,8,Chihuahua,510642.914
2015,9,Ciudad de Mexico,2869792.908
2015,10,Durango,192888.101
2015,11,Guanajuato,653849.926
2015,12,Guerrero,229580.566
2015,13,Hidalgo,258695.052
2015,14,Jalisco,1104884.87
2015,15,Mexico,1445183.505
2015,16,Michoacan,386038.362
2015,17,Morelos,187472.397
2015,18,Nayarit,114062.999
2015,19,Nuevo Leon,1228082.513
2015,20,Oaxaca,260612.907
2015,21,Puebla,540604.128
2015,22,Queretaro,362418.911
2015,23,Quintana Roo,244081.496
2015,24,San Luis Potosi,329359.358
2015,25,Sinaloa,358848.314
2015,26,Sonora,549606.823
2015,27,Tabasco,562212.305
2015,28,Tamaulipas,492586.952
2015,29,Tlaxcala,96458.62
2015,30,Veracruz,785745.931
2015,31,Yucatan,230374.526
2015,32,Zacatecas,159905.359
2016,1,Aguascalientes,211672.469
2016,2,Baja California,535552.651
2016,3,Baja California Sur,133948.675
2016,4,Campeche,600612.272
2016,5,Coahuila,572243.615
2016,6,Colima,98576.211
2016,7,Chiapas,287034.269
2016,8,Chihuahua,534205.546
2016,9,Ciudad de Mexico,2957233.594
2016,10,Durango,200660.962
2016,11,Guanajuato,673328.294
2016,12,Guerrero,234185.03
2016,13,Hidalgo,268833.622
2016,14,Jalisco,1149129.548
2016,15,Mexico,1485467.443
2016,16,Michoacan,402111.981
2016,17,Morelos,194412.078
2016,18,Nayarit,119473.243
2016,19,Nuevo Leon,1257648.421
2016,20,Oaxaca,256580.339
2016,21,Puebla,555309.088
2016,22,Queretaro,377947.864
2016,23,Quintana Roo,261497.598
2016,24,San Luis Potosi,342065.043
2016,25,Sinaloa,376438.398
2016,26,Sonora,578945.379
2016,27,Tabasco,534685.495
2016,28,Tamaulipas,500458.048
2016,29,Tlaxcala,96859.667
2016,30,Veracruz,784930.108
2016,31,Yucatan,242505.306
2016,32,Zacatecas,157998.056
2017,1,Aguascalientes,216705.56
2017,2,Baja California,553327.213
2017,3,Baja California Sur,148376.63
2017,4,Campeche,537882.577
2017,5,Coahuila,601722.052
2017,6,Colima,102039.429
2017,7,Chiapas,277580.835
2017,8,Chihuahua,551497.303
2017,9,Ciudad de Mexico,3045539.859
2017,10,Durango,199559.31
2017,11,Guanajuato,704179.453
2017,12,Guerrero,234094.182
2017,13,Hidalgo,270118.073
2017,14,Jalisco,1176616.034
2017,15,Mexico,1556925.971
2017,16,Michoacan,414856.586
2017,17,Morelos,203238.504
2017,18,Nayarit,121000.114
2017,19,Nuevo Leon,1306549.097
2017,20,Oaxaca,250518.62
2017,21,Puebla,589080.273
2017,22,Queretaro,395109.808
2017,23,Quintana Roo,272211.726
2017,24,San Luis Potosi,354677.904
2017,25,Sinaloa,380987.655
2017,26,Sonora,575986.463
2017,27,Tabasco,509388.361
2017,28,Tamaulipas,498369.426
2017,29,Tlaxcala,95585.227
2017,30,Veracruz,776072.856
2017,31,Yucatan,252391.124
2017,32,Zacatecas,157621.131
2018,1,Aguascalientes,224807.469
2018,2,Baja California,565895.378
2018,3,Baja California Sur,173047.36
2018,4,Campeche,529584.304
2018,5,Coahuila,609051.269
2018,6,Colima,104474.901
2018,7,Chiapas,271621.449
2018,8,Chihuahua,562599.228
2018,9,Ciudad de Mexico,3128247.71
2018,10,Durango,202546.99
2018,11,Guanajuato,712902.447
2018,12,Guerrero,240983.724
2018,13,Hidalgo,277326.475
2018,14,Jalisco,1207897.462
2018,15,Mexico,1605830.823
2018,16,Michoacan,424377.529
2018,17,Morelos,201363.236
2018,18,Nayarit,120495.124
2018,19,Nuevo Leon,1353874.513
2018,20,Oaxaca,260440.891
2018,21,Puebla,603702.659
2018,22,Queretaro,406635.649
2018,23,Quintana Roo,286095.168
2018,24,San Luis Potosi,370089.916
2018,25,Sinaloa,390504.775
2018,26,Sonora,581395.25
2018,27,Tabasco,468708.681
2018,28,Tamaulipas,507780.727
2018,29,Tlaxcala,99024.914
2018,30,Veracruz,794376.31
2018,31,Yucatan,260417.828
2018,32,Zacatecas,156725.476
2019,1,Aguascalientes,223622.4888
2019,2,Baja California,576938.4851
2019,3,Baja California Sur,160099.1458
2019,4,Campeche,518494.0625
2019,5,Coahuila,615589.6461
2019,6,Colima,108962.6467
2019,7,Chiapas,265869.5835
2019,8,Chihuahua,574460.5244
2019,9,Ciudad de Mexico,3123924.632
2019,10,Durango,204478.9565
2019,11,Guanajuato,711293.5243
2019,12,Guerrero,237902.8068
2019,13,Hidalgo,274489.0003
2019,14,Jalisco,1215491.236
2019,15,Mexico,1571911.162
2019,16,Michoacan,425515.7743
2019,17,Morelos,197465.9355
2019,18,Nayarit,120450.0497
2019,19,Nuevo Leon,1379248.214
2019,20,Oaxaca,252169.6071
2019,21,Puebla,600719.4381
2019,22,Queretaro,407773.3842
2019,23,Quintana Roo,285992.4684
2019,24,San Luis Potosi,366076.5912
2019,25,Sinaloa,394848.5053
2019,26,Sonora,577474.0024
2019,27,Tabasco,443159.3303
2019,28,Tamaulipas,515795.0467
2019,29,Tlaxcala,105495.6605
2019,30,Veracruz,797507.9495
2019,31,Yucatan,264656.7979
2019,32,Zacatecas,152011.7753
