anio,clave_ent,pobreza_ext
2015.0,01,2.0888393599000006
2016.0,01,2.303939905
2017.0,01,2.1826451433500003
2018.0,01,1.165585545
2015.0,02,2.2331116325333333
2016.0,02,1.1179887979999996
2017.0,02,0.6163735849666663
2018.0,02,1.625469146
2015.0,03,2.9780185224458333
2016.0,03,1.607785091
2017.0,03,0.7947314343041669
2018.0,03,1.498555989
2015.0,04,9.137652368191667
2016.0,04,6.657294356000001
2017.0,04,6.056670751308335
2018.0,04,9.770875972
2015.0,05,2.870001006166666
2016.0,05,1.6530314109999997
2017.0,05,0.9059561425833336
2018.0,05,1.4487981669999999
2015.0,06,2.955250530358333
2016.0,06,2.607599661
2017.0,06,2.407629762641667
2018.0,06,2.390672082
2015.0,07,30.216030644916668
2016.0,07,28.07911937
2017.0,07,27.288085967583335
2018.0,07,29.71232626
2015.0,08,4.768016329166667
2016.0,08,3.217157677
2017.0,08,2.070803708333334
2018.0,08,2.6088615269999997
2015.0,09,1.6265106515958332
2016.0,09,1.758453022
2017.0,09,1.8743685604041667
2018.0,09,1.7461166119999998
2015.0,10,4.0187182417625005
2016.0,10,2.7728795430000006
2017.0,10,2.0229668539875005
2018.0,10,2.2195371109999997
2015.0,11,4.886925186520833
2016.0,11,4.382453919
2017.0,11,4.125781733229166
2018.0,11,4.245789751
2015.0,12,22.7069818165
2016.0,12,22.96169063
2017.0,12,24.540786811
2018.0,12,26.76854324
2015.0,13,10.864351895783335
2016.0,13,8.01858133
2017.0,13,5.754555317466668
2018.0,13,6.068716113
2015.0,14,2.1962154136625
2016.0,14,1.8000705459999997
2017.0,14,2.0526699078375
2018.0,14,2.9737345110000004
2015.0,15,7.0693835464458346
2016.0,15,6.148421582000001
2017.0,15,5.187940151554168
2018.0,15,4.900429218
2015.0,16,12.032684475574998
2016.0,16,9.389043487999999
2017.0,16,7.074805222925001
2018.0,16,6.056148326000001
2015.0,17,7.126235715958333
2016.0,17,5.918722023999999
2017.0,17,5.557342215291667
2018.0,17,7.370320836
2015.0,18,7.788828350779168
2016.0,18,7.930145184
2017.0,18,7.691847956720833
2018.0,18,5.878883254
2015.0,19,0.8577192879083333
2016.0,19,0.608062314
2017.0,19,0.5050431183416666
2018.0,19,0.47418854899999996
2015.0,20,28.65548773016667
2016.0,20,26.880160610000004
2017.0,20,24.564538517333336
2018.0,20,23.26471753
2015.0,21,12.758591786212502
2016.0,21,8.958045622
2017.0,21,6.8786093480375
2018.0,21,8.639881905
2015.0,22,3.392726993833334
2016.0,22,2.9233988910000006
2017.0,22,2.445307745166667
2018.0,22,1.96165826
2015.0,23,5.549136939875
2016.0,23,4.236940413
2017.0,23,3.418731492875
2018.0,23,3.470576181
2015.0,24,8.354448431537499
2016.0,24,7.6773343590000005
2017.0,24,7.365221491212502
2018.0,24,7.330071631
2015.0,25,4.339707168441666
2016.0,25,2.885677352
2017.0,25,1.9741627190583335
2018.0,25,2.684057958
2015.0,26,2.745836059062499
2016.0,26,2.5243749219999994
2017.0,26,2.5223955756875
2018.0,26,2.63311477
2015.0,27,10.895607370833334
2016.0,27,11.769277719999998
2017.0,27,12.588698936666667
2018.0,27,12.29221881
2015.0,28,3.6420116786791668
2016.0,28,2.8817550780000007
2017.0,28,2.5900172818208347
2018.0,28,3.31702397
2015.0,29,6.003241301620833
2016.0,29,5.744204406000001
2017.0,29,5.0287529411291665
2018.0,29,3.127577628
2015.0,30,17.260389957125
2016.0,30,16.40333491
2017.0,30,16.057844810375002
2018.0,30,17.69940255
2015.0,31,8.812464630787499
2016.0,31,6.147751241
2017.0,31,4.746799467212501
2018.0,31,6.664957076
2015.0,32,4.625208108375
2016.0,32,3.5240882510000002
2017.0,32,2.930847233125001
2018.0,32,3.3692044780000003
